bet_id,logged_at,player_name,player_team,opponent_team,prop_type,direction,line,odds_open,implied_prob_open,predicted_prob,raw_predicted_prob,edge,season_hit_rate,l20_hit_rate,l10_hit_rate,l5_hit_rate,blend_weights_json,adjustments_json,breakdown_json,confidence,lineup_confirmed,manual_matchup_adjustment,context_lean,closing_odds,implied_prob_close,clv_pct,actual_stat_value,hit,outcome_logged_at,notes
04120c22,2026-07-16T19:39:44.846533+00:00,Sonia Citron,Washington Mystics,Portland Fire,Points,Over,17.5,-102.0,0.504950495049505,0.5538863576408422,0.5538863576408422,0.0489358625913372,0.45,0.45,0.5,0.6,"{""season"": 0.15, ""l20"": 0.25, ""l10"": 0.3, ""l5"": 0.3}","{""pace"": 0.022857142857142857, ""opp_defense"": 0.08571428571428573, ""dvp"": -0.1, ""teammate_usage_bump"": 0.0, ""teammate_minutes_bump"": 0.0, ""manual_matchup"": -0.02, ""context_lean"": -0.01, ""game_environment"": 0.026666666666666665, ""home_away"": 0.03, ""rest"": 0.0}","{""season_avg"": 16.952380952380953, ""l20_avg"": 17.2, ""l10_avg"": 18.4, ""l5_avg"": 18.4, ""l20_hit_rate"": 0.45, ""l10_hit_rate"": 0.5, ""l5_hit_rate"": 0.6, ""minutes_per_game"": 32.95238095238095, ""projected_minutes"": 36.4, ""usage_pct"": null, ""starter"": true, ""rotation_role"": ""Starter"", ""teammate_usage_bump_pct"": null, ""teammate_minutes_bump_pct"": null, ""opponent_pace_rank"": 6.0, ""opponent_def_rating_rank"": 14.0, ""dvp_rank"": 15.0, ""game_total"": 162.5, ""spread"": -5.5, ""home_away"": ""Home"", ""rest_days"": 1, ""back_to_back"": false, ""h2h_hit_rate"": null, ""manual_matchup_adjustment"": -0.02, ""context_lean"": -0.01, ""context_note"": """", ""lineup_confirmed"": true}",High,True,-0.02,-0.01,-128.0,0.5614035087719298,5.645301372242484,8.0,False,2026-07-17T11:45:04.462038+00:00,
d92b825f,2026-07-16T19:42:59.225938+00:00,Bridget Carleton,Portland Fire,Washington Mystics,Points,Under,12.5,-108.0,0.5192307692307693,0.5367660074116303,0.5367660074116303,0.017535238180861,0.45,0.45,0.5,0.6,"{""season"": 0.15, ""l20"": 0.25, ""l10"": 0.3, ""l5"": 0.3}","{""pace"": -0.06857142857142857, ""opp_defense"": -0.07142857142857144, ""dvp"": -0.02857142857142858, ""teammate_usage_bump"": 0.0, ""teammate_minutes_bump"": 0.0, ""manual_matchup"": -0.02, ""context_lean"": -0.01, ""game_environment"": -0.013333333333333332, ""home_away"": -0.015, ""rest"": 0.0}","{""season_avg"": 13.291666666666666, ""l20_avg"": 13.0, ""l10_avg"": 13.7, ""l5_avg"": 12.6, ""l20_hit_rate"": 0.45, ""l10_hit_rate"": 0.5, ""l5_hit_rate"": 0.6, ""minutes_per_game"": 30.25, ""projected_minutes"": 35.2, ""usage_pct"": null, ""starter"": true, ""rotation_role"": ""Starter"", ""teammate_usage_bump_pct"": null, ""teammate_minutes_bump_pct"": null, ""opponent_pace_rank"": 14.0, ""opponent_def_rating_rank"": 3.0, ""dvp_rank"": 10.0, ""game_total"": 162.5, ""spread"": 6.5, ""home_away"": ""Away"", ""rest_days"": 1, ""back_to_back"": false, ""h2h_hit_rate"": null, ""manual_matchup_adjustment"": -0.02, ""context_lean"": -0.01, ""context_note"": """", ""lineup_confirmed"": true}",High,True,-0.02,-0.01,-106.0,0.5145631067961165,-0.4667662434652775,6.0,True,2026-07-17T11:45:37.371657+00:00,
6ce80818,2026-07-16T19:50:10.912760+00:00,Bridget Carleton,Portland Fire,Washington Mystics,Pts + Ast,Under,15.5,-122.0,0.5495495495495496,0.566718183140657,0.566718183140657,0.0171686335911074,0.45,0.45,0.4,0.4,"{""season"": 0.15, ""l20"": 0.25, ""l10"": 0.3, ""l5"": 0.3}","{""pace"": -0.06857142857142857, ""opp_defense"": -0.07142857142857144, ""dvp"": -0.042857142857142864, ""teammate_usage_bump"": 0.0, ""teammate_minutes_bump"": 0.0, ""manual_matchup"": -0.02, ""context_lean"": -0.01, ""game_environment"": -0.013333333333333332, ""home_away"": -0.015, ""rest"": 0.0}","{""season_avg"": 15.25, ""l20_avg"": 15.0, ""l10_avg"": 15.8, ""l5_avg"": 15.4, ""l20_hit_rate"": 0.45, ""l10_hit_rate"": 0.4, ""l5_hit_rate"": 0.4, ""minutes_per_game"": 30.25, ""projected_minutes"": 35.2, ""usage_pct"": null, ""starter"": true, ""rotation_role"": ""Starter"", ""teammate_usage_bump_pct"": null, ""teammate_minutes_bump_pct"": null, ""opponent_pace_rank"": 14.0, ""opponent_def_rating_rank"": 3.0, ""dvp_rank"": 11.0, ""game_total"": 162.5, ""spread"": 6.5, ""home_away"": ""Away"", ""rest_days"": 1, ""back_to_back"": false, ""h2h_hit_rate"": null, ""manual_matchup_adjustment"": -0.02, ""context_lean"": -0.01, ""context_note"": """", ""lineup_confirmed"": true}",High,True,-0.02,-0.01,-125.0,0.5555555555555556,0.6006006006005982,9.0,True,2026-07-17T11:46:20.309840+00:00,
97635e49,2026-07-16T20:01:24.273148+00:00,Shakira Austin,Washington Mystics,Portland Fire,Points,Over,15.5,-109.0,0.5215311004784688,0.569290421723593,0.569290421723593,0.0477593212451241,0.4,0.4,0.3,0.6,"{""season"": 0.15, ""l20"": 0.25, ""l10"": 0.3, ""l5"": 0.3}","{""pace"": 0.022857142857142857, ""opp_defense"": 0.08571428571428573, ""dvp"": -0.0, ""teammate_usage_bump"": 0.0, ""teammate_minutes_bump"": 0.0, ""manual_matchup"": -0.02, ""context_lean"": -0.01, ""game_environment"": 0.03, ""home_away"": 0.03, ""rest"": 0.0}","{""season_avg"": 14.142857142857142, ""l20_avg"": 13.95, ""l10_avg"": 13.1, ""l5_avg"": 17.0, ""l20_hit_rate"": 0.4, ""l10_hit_rate"": 0.3, ""l5_hit_rate"": 0.6, ""minutes_per_game"": 28.952380952380953, ""projected_minutes"": 32.4, ""usage_pct"": null, ""starter"": true, ""rotation_role"": ""Starter"", ""teammate_usage_bump_pct"": null, ""teammate_minutes_bump_pct"": null, ""opponent_pace_rank"": 6.0, ""opponent_def_rating_rank"": 14.0, ""dvp_rank"": 8.0, ""game_total"": 162.5, ""spread"": -6.5, ""home_away"": ""Home"", ""rest_days"": 1, ""back_to_back"": false, ""h2h_hit_rate"": 1.0, ""manual_matchup_adjustment"": -0.02, ""context_lean"": -0.01, ""context_note"": """", ""lineup_confirmed"": true}",High,True,-0.02,-0.01,-103.0,0.5073891625615764,-1.4141937916892444,19.0,True,2026-07-17T11:46:57.605062+00:00,
35a02bb8,2026-07-16T20:04:39.630890+00:00,Emily Engstler,Portland Fire,Washington Mystics,Pts + Ast,Under,12.5,-123.0,0.5515695067264574,0.562336907764405,0.562336907764405,0.0107674010379476,0.35,0.35,0.4,0.4,"{""season"": 0.15, ""l20"": 0.25, ""l10"": 0.3, ""l5"": 0.3}","{""pace"": -0.06857142857142857, ""opp_defense"": -0.07142857142857144, ""dvp"": -0.042857142857142864, ""teammate_usage_bump"": 0.0, ""teammate_minutes_bump"": 0.0, ""manual_matchup"": -0.02, ""context_lean"": -0.01, ""game_environment"": -0.013333333333333332, ""home_away"": -0.015, ""rest"": 0.0}","{""season_avg"": 11.0, ""l20_avg"": 11.35, ""l10_avg"": 12.6, ""l5_avg"": 13.6, ""l20_hit_rate"": 0.35, ""l10_hit_rate"": 0.4, ""l5_hit_rate"": 0.4, ""minutes_per_game"": 23.68, ""projected_minutes"": 28.6, ""usage_pct"": null, ""starter"": true, ""rotation_role"": ""Starter"", ""teammate_usage_bump_pct"": null, ""teammate_minutes_bump_pct"": null, ""opponent_pace_rank"": 14.0, ""opponent_def_rating_rank"": 3.0, ""dvp_rank"": 11.0, ""game_total"": 162.5, ""spread"": 6.5, ""home_away"": ""Away"", ""rest_days"": 1, ""back_to_back"": false, ""h2h_hit_rate"": null, ""manual_matchup_adjustment"": -0.02, ""context_lean"": -0.01, ""context_note"": """", ""lineup_confirmed"": true}",High,True,-0.02,-0.01,-107.0,0.5169082125603864,-3.4661294166071,13.0,False,2026-07-17T11:47:30.838303+00:00,
a78093a9,2026-07-17T11:52:19.838563+00:00,Natisha Hiedeman,Seattle Storm,Indiana Fever,Assists,Over,4.5,114.0,0.4672897196261682,0.5718349892005742,0.5718349892005742,0.1045452695744059,0.45,0.45,0.2,0.0,"{""season"": 0.15, ""l20"": 0.25, ""l10"": 0.3, ""l5"": 0.3}","{""pace"": 0.08, ""opp_defense"": 0.042857142857142864, ""dvp"": 0.07142857142857144, ""teammate_usage_bump"": 0.0, ""teammate_minutes_bump"": 0.0, ""manual_matchup"": 0.0, ""context_lean"": 0.0, ""game_environment"": 0.023333333333333334, ""home_away"": -0.015, ""rest"": 0.0}","{""season_avg"": 4.2592592592592595, ""l20_avg"": 4.4, ""l10_avg"": 4.3, ""l5_avg"": 3.4, ""l20_hit_rate"": 0.45, ""l10_hit_rate"": 0.2, ""l5_hit_rate"": 0.0, ""minutes_per_game"": 28.48148148148148, ""projected_minutes"": 31.2, ""usage_pct"": null, ""starter"": true, ""rotation_role"": ""Starter"", ""teammate_usage_bump_pct"": null, ""teammate_minutes_bump_pct"": null, ""opponent_pace_rank"": 1.0, ""opponent_def_rating_rank"": 11.0, ""dvp_rank"": 3.0, ""game_total"": 175.5, ""spread"": 8.5, ""home_away"": ""Away"", ""rest_days"": 1, ""back_to_back"": false, ""h2h_hit_rate"": null, ""manual_matchup_adjustment"": 0.0, ""context_lean"": 0.0, ""context_note"": """", ""lineup_confirmed"": true}",High,True,0.0,0.0,122.0,0.4504504504504504,-1.6839269175717764,8.0,True,2026-07-18T11:53:10.050382+00:00,
6fc877d6,2026-07-18T12:04:52.126886+00:00,Natasha Howard,Minnesota Lynx,Phoenix Mercury,Points,Over,17.5,117.0,0.4608294930875576,0.5210847353191909,0.5210847353191909,0.0602552422316332,0.5,0.5,0.4,0.2,"{""season"": 0.15, ""l20"": 0.25, ""l10"": 0.3, ""l5"": 0.3}","{""pace"": -0.022857142857142864, ""opp_defense"": 0.02857142857142858, ""dvp"": 0.042857142857142864, ""teammate_usage_bump"": 0.0, ""teammate_minutes_bump"": 0.0, ""manual_matchup"": -0.04, ""context_lean"": 0.0, ""game_environment"": 0.08, ""home_away"": 0.03, ""rest"": 0.02}","{""season_avg"": 15.846153846153847, ""l20_avg"": 16.8, ""l10_avg"": 14.8, ""l5_avg"": 13.8, ""l20_hit_rate"": 0.5, ""l10_hit_rate"": 0.4, ""l5_hit_rate"": 0.2, ""minutes_per_game"": 29.576923076923077, ""projected_minutes"": 32.0, ""usage_pct"": null, ""starter"": true, ""rotation_role"": ""Starter"", ""teammate_usage_bump_pct"": null, ""teammate_minutes_bump_pct"": null, ""opponent_pace_rank"": 10.0, ""opponent_def_rating_rank"": 10.0, ""dvp_rank"": 5.0, ""game_total"": 175.5, ""spread"": -13.5, ""home_away"": ""Home"", ""rest_days"": 2, ""back_to_back"": false, ""h2h_hit_rate"": null, ""manual_matchup_adjustment"": -0.04, ""context_lean"": 0.0, ""context_note"": """", ""lineup_confirmed"": true}",High,True,-0.04,0.0,,,,16.0,False,2026-07-19T12:27:08.259865+00:00,
e91a9a90,2026-07-18T12:30:43.997507+00:00,Breanna Stewart,New York Liberty,Indiana Fever,Points,Over,20.5,-106.0,0.5145631067961165,0.6025218486236409,0.6025218486236409,0.0879587418275243,0.35,0.35,0.4,0.8,"{""season"": 0.15, ""l20"": 0.25, ""l10"": 0.3, ""l5"": 0.3}","{""pace"": 0.08, ""opp_defense"": 0.042857142857142864, ""dvp"": -0.07142857142857142, ""teammate_usage_bump"": 0.0, ""teammate_minutes_bump"": 0.0, ""manual_matchup"": 0.0, ""context_lean"": 0.0, ""game_environment"": 0.06333333333333332, ""home_away"": -0.015, ""rest"": 0.0}","{""season_avg"": 19.76923076923077, ""l20_avg"": 20.1, ""l10_avg"": 21.5, ""l5_avg"": 25.8, ""l20_hit_rate"": 0.35, ""l10_hit_rate"": 0.4, ""l5_hit_rate"": 0.8, ""minutes_per_game"": 31.653846153846153, ""projected_minutes"": 35.0, ""usage_pct"": null, ""starter"": true, ""rotation_role"": ""Starter"", ""teammate_usage_bump_pct"": null, ""teammate_minutes_bump_pct"": null, ""opponent_pace_rank"": 1.0, ""opponent_def_rating_rank"": 11.0, ""dvp_rank"": 13.0, ""game_total"": 177.5, ""spread"": -1.5, ""home_away"": ""Away"", ""rest_days"": 1, ""back_to_back"": false, ""h2h_hit_rate"": null, ""manual_matchup_adjustment"": 0.0, ""context_lean"": 0.0, ""context_note"": """", ""lineup_confirmed"": true}",High,True,0.0,0.0,,,,26.0,True,2026-07-19T12:27:24.876830+00:00,
0b7a0383,2026-07-18T13:49:07.273799+00:00,Shakira Austin,Washington Mystics,Golden State Valkyries,Pts + Reb + Ast,Under,25.5,-111.0,0.5260663507109005,0.5733337009337628,0.5733337009337628,0.047267350228623,0.45,0.45,0.6,0.8,"{""season"": 0.15, ""l20"": 0.25, ""l10"": 0.3, ""l5"": 0.3}","{""pace"": -0.08, ""opp_defense"": -0.1, ""dvp"": -0.01428571428571428, ""teammate_usage_bump"": 0.0, ""teammate_minutes_bump"": 0.0, ""manual_matchup"": 0.0, ""context_lean"": 0.0, ""game_environment"": -0.07, ""home_away"": -0.015, ""rest"": 0.02}","{""season_avg"": 26.181818181818183, ""l20_avg"": 25.75, ""l10_avg"": 26.6, ""l5_avg"": 30.0, ""l20_hit_rate"": 0.45, ""l10_hit_rate"": 0.6, ""l5_hit_rate"": 0.8, ""minutes_per_game"": 29.136363636363637, ""projected_minutes"": 29.6, ""usage_pct"": null, ""starter"": true, ""rotation_role"": ""Starter"", ""teammate_usage_bump_pct"": null, ""teammate_minutes_bump_pct"": null, ""opponent_pace_rank"": 15.0, ""opponent_def_rating_rank"": 1.0, ""dvp_rank"": 9.0, ""game_total"": 148.5, ""spread"": 9.5, ""home_away"": ""Away"", ""rest_days"": 2, ""back_to_back"": false, ""h2h_hit_rate"": null, ""manual_matchup_adjustment"": 0.0, ""context_lean"": 0.0, ""context_note"": """", ""lineup_confirmed"": true}",High,True,0.0,0.0,,,,35.0,False,2026-07-19T12:28:02.002743+00:00,
064dd8f9,2026-07-19T12:26:36.559299+00:00,Nneka Ogwumike,Los Angeles Sparks,Dallas Wings,Rebounds,Over,8.5,-125.0,0.5555555555555556,0.5683034412409605,0.5683034412409605,0.0127478856854049,0.5,0.5,0.6,0.4,"{""season"": 0.15, ""l20"": 0.25, ""l10"": 0.3, ""l5"": 0.3}","{""pace"": 0.022857142857142857, ""opp_defense"": -0.042857142857142864, ""dvp"": 0.08571428571428573, ""teammate_usage_bump"": 0.0, ""teammate_minutes_bump"": 0.0, ""manual_matchup"": 0.0, ""context_lean"": -0.02, ""game_environment"": 0.04333333333333333, ""home_away"": -0.015, ""rest"": 0.0}","{""season_avg"": 8.708333333333334, ""l20_avg"": 9.25, ""l10_avg"": 8.8, ""l5_avg"": 9.8, ""l20_hit_rate"": 0.5, ""l10_hit_rate"": 0.6, ""l5_hit_rate"": 0.4, ""minutes_per_game"": 31.125, ""projected_minutes"": 32.0, ""usage_pct"": null, ""starter"": true, ""rotation_role"": ""Starter"", ""teammate_usage_bump_pct"": null, ""teammate_minutes_bump_pct"": null, ""opponent_pace_rank"": 6.0, ""opponent_def_rating_rank"": 5.0, ""dvp_rank"": 2.0, ""game_total"": 183.5, ""spread"": 10.5, ""home_away"": ""Away"", ""rest_days"": 1, ""back_to_back"": false, ""h2h_hit_rate"": null, ""manual_matchup_adjustment"": 0.0, ""context_lean"": -0.02, ""context_note"": """", ""lineup_confirmed"": true}",High,True,0.0,-0.02,-139.0,0.5815899581589958,2.603440260344025,10.0,True,2026-07-19T22:19:03.280857+00:00,
